food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Alcoholic Drinks & Beverages,Scotch,100ml,222 cal,932 kJ,1 1/2 once (44 ml),98 cal,410 kJ,1 once (30 ml),67 cal,280 kJ
Alcoholic Drinks & Beverages,Gin prunelle,100ml,332 cal,1394 kJ,1 shot (25 ml),83 cal,349 kJ,1 once (30 ml),100 cal,418 kJ
Alcoholic Drinks & Beverages,Southern Comfort,100ml,247 cal,1037 kJ,1 1/2 once (44 ml),109 cal,456 kJ,1 once (30 ml),74 cal,311 kJ
Alcoholic Drinks & Beverages,Tequila,100ml,110 cal,462 kJ,1 shot (25 ml),28 cal,116 kJ,1 once (30 ml),33 cal,139 kJ
Alcoholic Drinks & Beverages,Triple Sec,100ml,153 cal,643 kJ,1 verre (150 ml),230 cal,965 kJ,1 once (30 ml),46 cal,193 kJ
Alcoholic Drinks & Beverages,Vodka,100ml,231 cal,970 kJ,1 shot (25 ml),58 cal,243 kJ,1 once (30 ml),69 cal,291 kJ
Alcoholic Drinks & Beverages,Whisky,100ml,250 cal,1050 kJ,1 1/2 once (44 ml),110 cal,462 kJ,1 once (30 ml),75 cal,315 kJ
Baking Ingredients,Agar-Agar,100g,26 cal,109 kJ,1 c. à soupe (5 g),1 cal,5 kJ,1 once (28 g),7 cal,31 kJ
Baking Ingredients,Sirop d'agave,100ml,310 cal,1302 kJ,1/4 tasse (55 ml),171 cal,716 kJ,1 once (30 ml),93 cal,391 kJ
Baking Ingredients,Farine tout usage,100ml,364 cal,1529 kJ,1 tasse (120 ml),437 cal,1835 kJ,1 once (30 ml),109 cal,459 kJ
Baking Ingredients,Extrait d'amande,100ml,258 cal,1084 kJ,1 c. à soupe (8 ml),21 cal,87 kJ,1 once (30 ml),77 cal,325 kJ
Baking Ingredients,Garniture de tarte à la pomme,100g,100 cal,420 kJ,1 portion (60 g),60 cal,252 kJ,1 once (28 g),28 cal,118 kJ
Baking Ingredients,Poudre à lever,100g,53 cal,223 kJ,1 c. à café (4.6 g),2 cal,9 kJ,1 once (28 g),15 cal,62 kJ
Baking Ingredients,Bicarbonate de soude,100g,0 cal,0 kJ,1 c. à café (4.6 g),0 cal,0 kJ,1 once (28 g),0 cal,0 kJ
Baking Ingredients,Farine pour pain,100g,361 cal,1516 kJ,1 tasse (137 g),495 cal,2077 kJ,1 once (28 g),101 cal,424 kJ
Baking Ingredients,Brisures,100g,592 cal,2486 kJ,1 once (28.4 g),166 cal,696 kJ,1 once (28 g),166 cal,696 kJ
Baking Ingredients,Sucre brun,100g,395 cal,1659 kJ,1 tasse (220 g),869 cal,3650 kJ,1 once (28 g),111 cal,465 kJ
Baking Ingredients,Chips au caramel,100g,539 cal,2264 kJ,1 tasse (170 g),916 cal,3849 kJ,1 once (28 g),151 cal,634 kJ
Baking Ingredients,Farine pour gâteaux,100g,362 cal,1520 kJ,1 tasse (137 g),496 cal,2082 kJ,1 once (28 g),101 cal,426 kJ
Baking Ingredients,Écorce d'orange confite,100g,97 cal,407 kJ,1 c. à soupe (6 g),6 cal,24 kJ,1 once (28 g),27 cal,114 kJ
Baking Ingredients,Sucre de canne,100g,387 cal,1625 kJ,1 c. à soupe (5 g),19 cal,81 kJ,1 once (28 g),108 cal,455 kJ
Baking Ingredients,Pépites de chocolat,100g,467 cal,1961 kJ,1 c. à soupe (15 g),70 cal,294 kJ,1 once (28 g),131 cal,549 kJ
Baking Ingredients,Paillettes de chocolat,100g,500 cal,2100 kJ,1 c. à soupe (5 g),25 cal,105 kJ,1 once (28 g),140 cal,588 kJ
Baking Ingredients,Poudre de cacao,100g,228 cal,958 kJ,1 c. à soupe (5.4 g),11 cal,48 kJ,1 once (28 g),64 cal,268 kJ
Baking Ingredients,Flocons de noix de coco,100g,456 cal,1915 kJ,1 tasse (85 g),388 cal,1628 kJ,1 once (28 g),128 cal,536 kJ
Baking Ingredients,Sirop de maïs,100ml,281 cal,1180 kJ,1 c. à soupe (19 ml),53 cal,224 kJ,1 once (30 ml),84 cal,354 kJ
Baking Ingredients,Farine de maïs,100g,362 cal,1520 kJ,1 tasse (138 g),500 cal,2098 kJ,1 once (28 g),101 cal,426 kJ
Baking Ingredients,Fécule de maïs,100g,381 cal,1600 kJ,1 tasse (128 g),488 cal,2048 kJ,1 once (28 g),107 cal,448 kJ
Baking Ingredients,Couverture,100g,600 cal,2520 kJ,1 once (28.4 g),168 cal,706 kJ,1 once (28 g),168 cal,706 kJ
Baking Ingredients,Fromage frais,100g,54 cal,227 kJ,1 portion (20 g),11 cal,45 kJ,1 once (28 g),15 cal,64 kJ
Baking Ingredients,Crème de tartare,100g,258 cal,1084 kJ,1 c. à soupe (15 g),39 cal,163 kJ,1 once (28 g),72 cal,304 kJ
Baking Ingredients,Poudre à la crème,100g,337 cal,1415 kJ,1 c. à soupe (17.5 g),57 cal,241 kJ,1 once (28 g),94 cal,396 kJ
Baking Ingredients,Rhum brun,100ml,216 cal,907 kJ,1 once (28 ml),60 cal,254 kJ,1 once (30 ml),65 cal,272 kJ
Baking Ingredients,Dextrose,100g,375 cal,1575 kJ,1 c. à café (3.2 g),11 cal,47 kJ,1 once (28 g),105 cal,441 kJ
Baking Ingredients,Abricots secs,100g,241 cal,1012 kJ,1 tasse (130 g),313 cal,1316 kJ,1 once (28 g),67 cal,283 kJ
Baking Ingredients,Canneberges séchées,100g,308 cal,1294 kJ,1/3 tasse (40 g),123 cal,518 kJ,1 once (28 g),86 cal,362 kJ
Baking Ingredients,Figues séchées,100g,249 cal,1046 kJ,1 figue (8.4 g),20 cal,84 kJ,1 once (28 g),70 cal,293 kJ
Baking Ingredients,Pruneaux secs,100g,107 cal,449 kJ,1 tasse (248 g),265 cal,1114 kJ,1 once (28 g),30 cal,126 kJ
Baking Ingredients,Oeuf de canard,100g,185 cal,777 kJ,1 oeuf (70 g),130 cal,544 kJ,1 once (28 g),52 cal,218 kJ
Baking Ingredients,Oeuf,100g,97 cal,407 kJ,1 oeuf (60 g),58 cal,244 kJ,1 once (28 g),27 cal,114 kJ
Baking Ingredients,Blanc d'oeuf,100g,13 cal,55 kJ,1 blanc oeuf (25 g),3 cal,14 kJ,1 once (28 g),4 cal,15 kJ
Baking Ingredients,Jaune d'oeuf,100g,322 cal,1352 kJ,1 jaune (16 g),52 cal,216 kJ,1 once (28 g),90 cal,379 kJ
Baking Ingredients,Farine,100g,364 cal,1529 kJ,1 tasse (120 g),437 cal,1835 kJ,1 once (28 g),102 cal,428 kJ
Baking Ingredients,Fructose,100g,368 cal,1546 kJ,1 c. à café (4 g),15 cal,62 kJ,1 once (28 g),103 cal,433 kJ
Baking Ingredients,Gélatine,100g,335 cal,1407 kJ,1 c. à soupe (7 g),23 cal,98 kJ,1 once (28 g),94 cal,394 kJ
Baking Ingredients,Glucose,100g,286 cal,1201 kJ,1 c. à soupe (20 g),57 cal,240 kJ,1 once (28 g),80 cal,336 kJ
Baking Ingredients,Sirop de glucose,100g,387 cal,1625 kJ,1 once (28.4 g),108 cal,455 kJ,1 once (28 g),108 cal,455 kJ
Baking Ingredients,Sucre cristallisé,100g,387 cal,1625 kJ,1 packet (2.8 g),8 cal,33 kJ,1 once (28 g),108 cal,455 kJ
Baking Ingredients,Cannelle en poudre,100g,247 cal,1037 kJ,1 c. à café (2.6 g),5 cal,21 kJ,1 once (28 g),69 cal,290 kJ
Baking Ingredients,Crème épaisse,100g,345 cal,1449 kJ,1 tasse (120 g),414 cal,1739 kJ,1 once (28 g),97 cal,406 kJ
Baking Ingredients,Sucre non raffiné,100g,383 cal,1609 kJ,1 c. à soupe (12 g),46 cal,193 kJ,1 once (28 g),107 cal,451 kJ
Baking Ingredients,Garniture de tarte au citron,100g,143 cal,601 kJ,1 once (28.4 g),40 cal,168 kJ,1 once (28 g),40 cal,168 kJ
Baking Ingredients,Poudre de malt,100g,361 cal,1516 kJ,1 tasse (162 g),585 cal,2456 kJ,1 once (28 g),101 cal,424 kJ
Baking Ingredients,Lait malté,100g,405 cal,1701 kJ,1 c. à soupe (7 g),28 cal,119 kJ,1 once (28 g),113 cal,476 kJ
Baking Ingredients,Maltitol,100g,210 cal,882 kJ,1 c. à café (4.5 g),8 cal,35 kJ,1 once (28 g),59 cal,247 kJ
Baking Ingredients,Maltodextrine,100g,375 cal,1575 kJ,1 c. à café (3.2 g),11 cal,47 kJ,1 once (28 g),105 cal,441 kJ
Baking Ingredients,Maltose,100g,344 cal,1445 kJ,1 c. à soupe (13 g),45 cal,188 kJ,1 once (28 g),96 cal,405 kJ
Baking Ingredients,Sirop d'érable,100ml,270 cal,1134 kJ,60 millilitre (80 ml),216 cal,907 kJ,1 once (30 ml),81 cal,340 kJ
Baking Ingredients,Mélasse,100g,290 cal,1218 kJ,1 tasse (337 g),977 cal,4105 kJ,1 once (28 g),81 cal,341 kJ
Baking Ingredients,Nonpareils,100g,475 cal,1995 kJ,1 c. à soupe (5 g),24 cal,100 kJ,1 once (28 g),133 cal,559 kJ
Baking Ingredients,Extrait de menthe poivrée,100ml,0 cal,0 kJ,1 c. à café (5 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Baking Ingredients,Sucre en poudre,100g,389 cal,1634 kJ,1 tasse (120 g),467 cal,1961 kJ,1 once (28 g),109 cal,458 kJ
Baking Ingredients,Protéines en poudre,100g,411 cal,1726 kJ,1 c. à soupe (11 g),45 cal,190 kJ,1 once (28 g),115 cal,483 kJ
Baking Ingredients,Raisins secs,100g,474 cal,1991 kJ,1 tasse (165 g),782 cal,3285 kJ,1 once (28 g),133 cal,557 kJ
Baking Ingredients,Sucre de roche,100g,625 cal,2625 kJ,1 c. à café (4 g),25 cal,105 kJ,1 once (28 g),175 cal,735 kJ
Baking Ingredients,Rhum,100ml,246 cal,1033 kJ,1 portion (40 ml),98 cal,413 kJ,1 once (30 ml),74 cal,310 kJ
Baking Ingredients,Farine de semoule,100g,350 cal,1470 kJ,1 tasse (120 g),420 cal,1764 kJ,1 once (28 g),98 cal,412 kJ
Baking Ingredients,Noix de coco râpée,100g,501 cal,2104 kJ,1 tasse (93 g),466 cal,1957 kJ,1 once (28 g),140 cal,589 kJ
Baking Ingredients,Sorbitol,100g,375 cal,1575 kJ,1 c. à café (4 g),15 cal,63 kJ,1 once (28 g),105 cal,441 kJ
Baking Ingredients,Protéines de soja en poudre,100g,338 cal,1420 kJ,1 once (28.4 g),95 cal,398 kJ,1 once (28 g),95 cal,398 kJ
Baking Ingredients,Saupoudrage,100g,500 cal,2100 kJ,1 c. à café (2 g),10 cal,42 kJ,1 once (28 g),140 cal,588 kJ
Baking Ingredients,Amidon,100g,381 cal,1600 kJ,1 tasse (128 g),488 cal,2048 kJ,1 once (28 g),107 cal,448 kJ
Baking Ingredients,Conserves de fraises,100g,278 cal,1168 kJ,1 c. à soupe (20 g),56 cal,234 kJ,1 once (28 g),78 cal,327 kJ
Baking Ingredients,Saccharose,100g,387 cal,1625 kJ,1 c. à café (4 g),15 cal,65 kJ,1 once (28 g),108 cal,455 kJ
Baking Ingredients,Sucre,100g,405 cal,1701 kJ,1 c. à café (5 g),20 cal,85 kJ,1 once (28 g),113 cal,476 kJ
Baking Ingredients,Édulcorant,100g,360 cal,1512 kJ,1 packet (1 g),4 cal,15 kJ,1 once (28 g),101 cal,423 kJ
Baking Ingredients,Extrait de vanille,100ml,288 cal,1210 kJ,1 c. à soupe (13 ml),37 cal,157 kJ,1 once (30 ml),86 cal,363 kJ
Baking Ingredients,Sucre vanillé,100g,357 cal,1499 kJ,1 c. à café (2.4 g),7 cal,30 kJ,1 once (28 g),100 cal,420 kJ
Baking Ingredients,Graisse végétal,100g,884 cal,3713 kJ,1 c. à soupe (12.8 g),106 cal,446 kJ,1 once (28 g),248 cal,1040 kJ
Baking Ingredients,Farine de blé entier,100g,340 cal,1428 kJ,1 tasse (120 g),408 cal,1714 kJ,1 once (28 g),95 cal,400 kJ
Baking Ingredients,Xylitol,100g,240 cal,1008 kJ,1 c. à café (4 g),10 cal,40 kJ,1 once (28 g),67 cal,282 kJ
Baking Ingredients,Levure (sèche),100g,325 cal,1365 kJ,1 c. à café (4 g),13 cal,55 kJ,1 once (28 g),91 cal,382 kJ
Beef & Veal,Poitrine de boeuf,100g,137 cal,575 kJ,1 part (178 g),244 cal,1024 kJ,1 once (28 g),38 cal,161 kJ
Beef & Veal,Filet de boeuf,100g,189 cal,794 kJ,6 once (168 g),318 cal,1334 kJ,1 once (28 g),53 cal,222 kJ
Beef & Veal,Goulasch de boeuf,100g,123 cal,517 kJ,1 tasse (227 g),279 cal,1174 kJ,1 once (28 g),34 cal,145 kJ
Beef & Veal,Steak minute de boeuf,100g,133 cal,559 kJ,6 once (168 g),223 cal,939 kJ,1 once (28 g),37 cal,157 kJ
Beef & Veal,Cou de boeuf,100g,213 cal,895 kJ,1 part (224 g),477 cal,2005 kJ,1 once (28 g),60 cal,251 kJ
Beef & Veal,Pancréas de boeuf,100g,271 cal,1138 kJ,1 part (222 g),602 cal,2526 kJ,1 once (28 g),76 cal,319 kJ
Beef & Veal,Haché de boeuf,100g,247 cal,1037 kJ,1 pâté  (64 g),158 cal,664 kJ,1 once (28 g),69 cal,290 kJ
Beef & Veal,Côte de boeuf,100g,404 cal,1697 kJ,1 part (278 g),1123 cal,4718 kJ,1 once (28 g),113 cal,475 kJ
Beef & Veal,Côtes de boeuf,100g,196 cal,823 kJ,1 côtes (340 g),666 cal,2798 kJ,1 once (28 g),55 cal,230 kJ
Beef & Veal,Contre-filet de boeuf,100g,182 cal,764 kJ,1 portion (85 g),155 cal,649 kJ,1 once (28 g),51 cal,214 kJ
Beef & Veal,Suif de boeuf,100g,854 cal,3587 kJ,1 once (28 g),239 cal,1004 kJ,1 once (28 g),239 cal,1004 kJ
Beef & Veal,Suif de boeuf,100g,902 cal,3788 kJ,1 tasse (205 g),1849 cal,7765 kJ,1 once (28 g),253 cal,1061 kJ
Beef & Veal,Thymus de boeuf,100g,319 cal,1340 kJ,1 part (381 g),1215 cal,5105 kJ,1 once (28 g),89 cal,375 kJ
Beef & Veal,Tripes de boeuf,100g,94 cal,395 kJ,1 portion (85 g),80 cal,336 kJ,1 once (28 g),26 cal,111 kJ
Beef & Veal,Rôti de paleron,100g,141 cal,592 kJ,1 part (224 g),316 cal,1326 kJ,1 once (28 g),39 cal,166 kJ
Beef & Veal,Steak de boeuf,100g,137 cal,575 kJ,1 part (340 g),466 cal,1955 kJ,1 once (28 g),38 cal,161 kJ
Beef & Veal,Bifteck de flanc,100g,194 cal,815 kJ,1 steak (320 g),621 cal,2608 kJ,1 once (28 g),54 cal,228 kJ
Beef & Veal,Veau haché,100g,143 cal,601 kJ,6 once (168 g),240 cal,1010 kJ,1 once (28 g),40 cal,168 kJ
Beef & Veal,Steak,100g,247 cal,1037 kJ,1 steak (320 g),790 cal,3318 kJ,1 once (28 g),69 cal,290 kJ
Beef & Veal,Entrecôte,100g,217 cal,911 kJ,1 steak (281 g),610 cal,2560 kJ,1 once (28 g),61 cal,255 kJ
Beef & Veal,Rôti de boeuf,100g,187 cal,785 kJ,1 part (341 g),638 cal,2677 kJ,1 once (28 g),52 cal,220 kJ
Beef & Veal,Rumsteck,100g,171 cal,718 kJ,1 steak (205 g),351 cal,1472 kJ,1 once (28 g),48 cal,201 kJ
Beef & Veal,Hampe de boeuf,100g,205 cal,861 kJ,6 once (168 g),344 cal,1446 kJ,1 once (28 g),57 cal,241 kJ
Beef & Veal,Ragoût de boeuf,100g,191 cal,802 kJ,1 lb. (454 g),867 cal,3641 kJ,1 once (28 g),53 cal,225 kJ
Beef & Veal,Steak T-Bone,100g,221 cal,928 kJ,6 once (168 g),371 cal,1559 kJ,1 once (28 g),62 cal,260 kJ
Beef & Veal,Veau,100g,282 cal,1184 kJ,1 part (291 g),821 cal,3445 kJ,1 once (28 g),79 cal,332 kJ
Beef & Veal,Poitrine de veau,100g,282 cal,1184 kJ,1 part (291 g),821 cal,3445 kJ,1 once (28 g),79 cal,332 kJ
Beef & Veal,Cuisse de veau,100g,211 cal,886 kJ,1 part (272 g),574 cal,2410 kJ,1 once (28 g),59 cal,248 kJ
Beef & Veal,Veau Rôti de boeuf,100g,175 cal,735 kJ,1 part (208 g),364 cal,1529 kJ,1 once (28 g),49 cal,206 kJ
